id_partida,tick,tipo_evento,ganador_final,duracion_final,estrategia_j1,estrategia_j2,elixir_j1,elixir_j2,mano_j1,mano_j2,mazo_j1,mazo_j2,actor_evento,carta_usada,coste_carta,pos_x,pos_y,tropa_vida_maxima,tropa_dano,tropa_rango,tropa_tipo_ataque,tropa_tipo_objetivo,tropa_nivel
partida_0,53,TROPA_DESPLEGADA,JUGADOR_2,82,EstrategiaDefensiva,EstrategiaAgresiva,1,1,Bárbaros|Arqueras|Mosquetera|Príncipe,Bárbaros|Gigante|Mosquetera|Ejército de Esqueletos,Gigante|Mini P.E.K.K.A|Valquiria|Caballero|Príncipe|Bárbaros|Arqueras|Mosquetera,Ejército de Esqueletos|Valquiria|Gigante|Bárbaros|Mago de Hielo|Mini P.E.K.K.A|Caballero|Mosquetera,JUGADOR_1,Mini P.E.K.K.A,4,6,2,600,340,1,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_0,58,TROPA_DESPLEGADA,JUGADOR_2,82,EstrategiaDefensiva,EstrategiaAgresiva,3,0,Bárbaros|Arqueras|Mosquetera|Príncipe,Bárbaros|Gigante|Mosquetera|Valquiria,Gigante|Mini P.E.K.K.A|Valquiria|Caballero|Príncipe|Bárbaros|Arqueras|Mosquetera,Ejército de Esqueletos|Valquiria|Gigante|Bárbaros|Mago de Hielo|Mini P.E.K.K.A|Caballero|Mosquetera,JUGADOR_2,Ejército de Esqueletos,3,0,10,51,51,1,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_0,63,TROPA_DESPLEGADA,JUGADOR_2,82,EstrategiaDefensiva,EstrategiaAgresiva,0,2,Bárbaros|Arqueras|Mosquetera|Caballero,Bárbaros|Gigante|Mosquetera|Valquiria,Gigante|Mini P.E.K.K.A|Valquiria|Caballero|Príncipe|Bárbaros|Arqueras|Mosquetera,Ejército de Esqueletos|Valquiria|Gigante|Bárbaros|Mago de Hielo|Mini P.E.K.K.A|Caballero|Mosquetera,JUGADOR_1,Príncipe,5,6,2,1100,220,1,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_0,71,TROPA_DESPLEGADA,JUGADOR_2,82,EstrategiaDefensiva,EstrategiaAgresiva,2,0,Bárbaros|Arqueras|Mosquetera|Caballero,Bárbaros|Gigante|Mosquetera|Mago de Hielo,Gigante|Mini P.E.K.K.A|Valquiria|Caballero|Príncipe|Bárbaros|Arqueras|Mosquetera,Ejército de Esqueletos|Valquiria|Gigante|Bárbaros|Mago de Hielo|Mini P.E.K.K.A|Caballero|Mosquetera,JUGADOR_2,Valquiria,4,0,10,880,120,1,AREA,TROPAS_Y_ESTRUCTURAS,5
partida_0,78,TROPA_DESPLEGADA,JUGADOR_2,82,EstrategiaDefensiva,EstrategiaAgresiva,5,0,Bárbaros|Arqueras|Mosquetera|Caballero,Bárbaros|Gigante|Mosquetera|Caballero,Gigante|Mini P.E.K.K.A|Valquiria|Caballero|Príncipe|Bárbaros|Arqueras|Mosquetera,Ejército de Esqueletos|Valquiria|Gigante|Bárbaros|Mago de Hielo|Mini P.E.K.K.A|Caballero|Mosquetera,JUGADOR_2,Mago de Hielo,3,0,10,590,63,5,AREA,TROPAS_Y_ESTRUCTURAS,5
partida_0,81,TROPA_DESPLEGADA,JUGADOR_2,82,EstrategiaDefensiva,EstrategiaAgresiva,3,1,Bárbaros|Arqueras|Mosquetera|Valquiria,Bárbaros|Gigante|Mosquetera|Caballero,Gigante|Mini P.E.K.K.A|Valquiria|Caballero|Príncipe|Bárbaros|Arqueras|Mosquetera,Ejército de Esqueletos|Valquiria|Gigante|Bárbaros|Mago de Hielo|Mini P.E.K.K.A|Caballero|Mosquetera,JUGADOR_1,Caballero,3,6,2,660,75,1,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_0,82,PARTIDA_TERMINADA,JUGADOR_2,82,EstrategiaDefensiva,EstrategiaAgresiva,3,1,Bárbaros|Arqueras|Mosquetera|Valquiria,Bárbaros|Gigante|Mosquetera|Caballero,Gigante|Mini P.E.K.K.A|Valquiria|Caballero|Príncipe|Bárbaros|Arqueras|Mosquetera,Ejército de Esqueletos|Valquiria|Gigante|Bárbaros|Mago de Hielo|Mini P.E.K.K.A|Caballero|Mosquetera,,,,,,,,,,,
partida_1,1,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,2,5,Príncipe|Mago de Hielo|Ejército de Esqueletos|Bárbaros,Príncipe|P.E.K.K.A|Gigante|Caballero,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_1,Arqueras,3,12,4,125,33,5,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_1,1,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,2,0,Príncipe|Mago de Hielo|Ejército de Esqueletos|Bárbaros,P.E.K.K.A|Gigante|Caballero|Mosquetera,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_2,Príncipe,5,0,17,1100,220,1,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_1,3,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,0,1,Príncipe|Ejército de Esqueletos|Bárbaros|Gigante,P.E.K.K.A|Gigante|Caballero|Mosquetera,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_1,Mago de Hielo,3,9,13,590,63,5,AREA,TROPAS_Y_ESTRUCTURAS,5
partida_1,10,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,2,0,Príncipe|Ejército de Esqueletos|Bárbaros|Gigante,P.E.K.K.A|Gigante|Mosquetera|Mini P.E.K.K.A,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_2,Caballero,3,0,17,660,75,1,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_1,12,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,0,1,Príncipe|Bárbaros|Gigante|Mago,P.E.K.K.A|Gigante|Mosquetera|Mini P.E.K.K.A,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_1,Ejército de Esqueletos,3,12,12,51,51,1,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_1,21,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,3,0,Príncipe|Bárbaros|Gigante|Mago,P.E.K.K.A|Gigante|Mosquetera|Arqueras,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_2,Mini P.E.K.K.A,4,0,17,600,340,1,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_1,27,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,0,2,Bárbaros|Gigante|Mago|Mosquetera,P.E.K.K.A|Gigante|Mosquetera|Arqueras,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_1,Príncipe,5,5,8,1100,220,1,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_1,30,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,1,0,Bárbaros|Gigante|Mago|Mosquetera,P.E.K.K.A|Gigante|Mosquetera|Mago de Hielo,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_2,Arqueras,3,0,17,125,33,5,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_1,39,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,0,3,Bárbaros|Gigante|Mago|Arqueras,P.E.K.K.A|Gigante|Mosquetera|Mago de Hielo,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_1,Mosquetera,4,1,5,340,100,6,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_1,39,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,0,0,Bárbaros|Gigante|Mago|Arqueras,P.E.K.K.A|Gigante|Mosquetera|Príncipe,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_2,Mago de Hielo,3,0,17,590,63,5,AREA,TROPAS_Y_ESTRUCTURAS,5
partida_1,48,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,0,3,Bárbaros|Gigante|Mago|Mago de Hielo,P.E.K.K.A|Gigante|Mosquetera|Príncipe,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_1,Arqueras,3,17,4,125,33,5,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_1,52,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,1,0,Bárbaros|Gigante|Mago|Mago de Hielo,P.E.K.K.A|Gigante|Príncipe|Caballero,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_2,Mosquetera,4,0,17,340,100,6,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_1,58,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,0,2,Bárbaros|Gigante|Mago|Ejército de Esqueletos,P.E.K.K.A|Gigante|Príncipe|Caballero,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_1,Mago de Hielo,3,11,12,590,63,5,AREA,TROPAS_Y_ESTRUCTURAS,5
partida_1,60,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,1,0,Bárbaros|Gigante|Mago|Ejército de Esqueletos,P.E.K.K.A|Gigante|Príncipe|Mini P.E.K.K.A,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_2,Caballero,3,0,17,660,75,1,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_1,67,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,0,2,Bárbaros|Gigante|Mago|Príncipe,P.E.K.K.A|Gigante|Príncipe|Mini P.E.K.K.A,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_1,Ejército de Esqueletos,3,0,10,51,51,1,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_1,72,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,2,0,Bárbaros|Gigante|Mago|Príncipe,P.E.K.K.A|Gigante|Príncipe|Arqueras,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_2,Mini P.E.K.K.A,4,0,17,600,340,1,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_1,81,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,0,3,Gigante|Mago|Príncipe|Mosquetera,P.E.K.K.A|Gigante|Príncipe|Arqueras,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_1,Bárbaros,5,9,10,300,75,1,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_1,81,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,0,0,Gigante|Mago|Príncipe|Mosquetera,P.E.K.K.A|Gigante|Príncipe|Mago de Hielo,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_2,Arqueras,3,0,17,125,33,5,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_1,91,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,3,0,Gigante|Mago|Príncipe|Mosquetera,P.E.K.K.A|Gigante|Príncipe|Mosquetera,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_2,Mago de Hielo,3,0,17,590,63,5,AREA,TROPAS_Y_ESTRUCTURAS,5
partida_1,93,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,0,1,Gigante|Mago|Príncipe|Arqueras,P.E.K.K.A|Gigante|Príncipe|Mosquetera,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_1,Mosquetera,4,13,12,340,100,6,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_1,102,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,0,4,Gigante|Mago|Príncipe|Mago de Hielo,P.E.K.K.A|Gigante|Príncipe|Mosquetera,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_1,Arqueras,3,12,14,125,33,5,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_1,102,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,0,0,Gigante|Mago|Príncipe|Mago de Hielo,P.E.K.K.A|Gigante|Príncipe|Caballero,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_2,Mosquetera,4,0,10,340,100,6,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_1,111,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,0,3,Gigante|Mago|Príncipe|Ejército de Esqueletos,P.E.K.K.A|Gigante|Príncipe|Caballero,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_1,Mago de Hielo,3,7,0,590,63,5,AREA,TROPAS_Y_ESTRUCTURAS,5
partida_1,111,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,0,0,Gigante|Mago|Príncipe|Ejército de Esqueletos,P.E.K.K.A|Gigante|Príncipe|Mini P.E.K.K.A,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_2,Caballero,3,0,10,660,75,1,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_1,120,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,0,3,Gigante|Mago|Príncipe|Bárbaros,P.E.K.K.A|Gigante|Príncipe|Mini P.E.K.K.A,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_1,Ejército de Esqueletos,3,0,0,51,51,1,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_1,123,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,1,0,Gigante|Mago|Príncipe|Bárbaros,P.E.K.K.A|Gigante|Príncipe|Arqueras,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_2,Mini P.E.K.K.A,4,0,10,600,340,1,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_1,132,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,4,0,Gigante|Mago|Príncipe|Bárbaros,P.E.K.K.A|Gigante|Príncipe|Mago de Hielo,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_2,Arqueras,3,0,10,125,33,5,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_1,135,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,0,1,Mago|Príncipe|Bárbaros|Mosquetera,P.E.K.K.A|Gigante|Príncipe|Mago de Hielo,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_1,Gigante,5,15,17,2000,120,1,INDIVIDUAL,ESTRUCTURAS,5
partida_1,141,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,2,0,Mago|Príncipe|Bárbaros|Mosquetera,P.E.K.K.A|Gigante|Príncipe|Mosquetera,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_2,Mago de Hielo,3,0,10,590,63,5,AREA,TROPAS_Y_ESTRUCTURAS,5
partida_1,147,TROPA_DESPLEGADA,JUGADOR_2,152,EstrategiaMenorCosto,EstrategiaAgresiva,0,2,Mago|Príncipe|Bárbaros|Arqueras,P.E.K.K.A|Gigante|Príncipe|Mosquetera,Arqueras|Mago|Príncipe|Bárbaros|Ejército de Esqueletos|Gigante|Mago de Hielo|Mosquetera,Arqueras|Caballero|Mago de Hielo|P.E.K.K.A|Mini P.E.K.K.A|Gigante|Mosquetera|Príncipe,JUGADOR_1,Mosquetera,4,1,5,340,100,6,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
