id_partida,fecha_hora,estrategia_j1,estrategia_j2,nivel_j1,nivel_j2,ganador,motivo_victoria,duracion_segundos,torres_destruidas_j1,torres_destruidas_j2,vida_final_j1,vida_final_j2,cartas_jugadas_j1,cartas_jugadas_j2,elixir_gastado_j1,elixir_gastado_j2,tropas_invocadas_j1,tropas_invocadas_j2,danio_causado_j1,danio_causado_j2,danio_recibido_j1,danio_recibido_j2,ataques_j1,ataques_j2
PARTIDA_0017_edd9126f,2025-11-03 08:41:36,EstrategiaMenorCosto,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",66,1,3,0,5067,7,7,25,27,7,7,6897,11489,11489,6897,124,80
PARTIDA_0018_28a7773c,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaAleatoria,5,5,2,"Más torres restantes",179,0,2,2154,6758,14,18,62,64,14,18,10226,17822,17822,10226,104,214
PARTIDA_0019_1ea00c65,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaMenorCosto,5,5,1,"Torre Rey del Jugador 2 destruida",47,2,0,7278,1329,5,5,21,19,5,5,7602,1719,1719,7602,58,30
PARTIDA_0020_e6b22ac3,2025-11-03 08:41:36,EstrategiaAleatoria,EstrategiaMenorCosto,5,5,2,"Torre Rey del Jugador 1 destruida",78,0,3,0,6576,9,7,31,27,9,7,4047,12569,12569,4047,54,93
PARTIDA_0021_2f71ef77,2025-11-03 08:41:36,EstrategiaMenorCosto,EstrategiaMenorCosto,5,5,2,"Torre Rey del Jugador 1 destruida",51,0,2,1959,6918,5,5,21,20,5,5,2125,8998,8998,2125,24,43
PARTIDA_0022_42adc4fe,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaMenorCosto,5,5,2,"Torre Rey del Jugador 1 destruida",56,0,2,1959,7278,5,6,20,22,5,6,1237,9376,9376,1237,23,72
PARTIDA_0023_fe6664b9,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaDefensiva,5,5,1,"Torre Rey del Jugador 2 destruida",85,3,0,7278,0,9,7,31,31,9,7,15643,3578,3578,15643,183,56
PARTIDA_0024_e18c6c99,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",35,0,2,1884,7278,3,4,14,14,3,4,2232,8645,8645,2232,28,38
PARTIDA_0025_76071bd4,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaAgresiva,5,5,1,"Torre Rey del Jugador 2 destruida",45,2,1,3154,1959,5,5,19,17,5,5,7552,6561,6561,7552,43,83
PARTIDA_0026_9bef3f1e,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaMenorCosto,5,5,2,"Más torres restantes",179,1,2,2060,3894,14,19,59,65,14,19,16983,19111,19111,16983,179,248
PARTIDA_0027_1aac8777,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",92,3,0,6567,0,9,10,34,34,9,10,12123,4951,4951,12123,91,93
PARTIDA_0028_8f48507a,2025-11-03 08:41:36,EstrategiaAleatoria,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",62,0,2,1959,6157,7,6,24,25,7,6,3328,9682,9682,3328,36,60
PARTIDA_0029_26655899,2025-11-03 08:41:36,EstrategiaAleatoria,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",30,1,2,1959,5319,4,4,15,14,4,4,2530,6957,6957,2530,15,35
PARTIDA_0030_b53878b4,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaMenorCosto,5,5,1,"Torre Rey del Jugador 2 destruida",50,3,1,5319,0,5,6,18,21,5,6,9754,5630,5630,9754,68,84
PARTIDA_0031_56dbac0c,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",113,3,1,843,0,9,10,38,38,9,10,16103,11338,11338,16103,120,129
PARTIDA_0032_e856af49,2025-11-03 08:41:36,EstrategiaAleatoria,EstrategiaAleatoria,5,5,1,"Más torres restantes",203,2,1,2824,262,21,19,72,72,21,19,20659,16487,16487,20659,268,196
PARTIDA_0033_e4abc16c,2025-11-03 08:41:36,EstrategiaAleatoria,EstrategiaDefensiva,5,5,2,"Torre Rey del Jugador 1 destruida",110,0,2,1959,6592,11,9,41,38,11,9,5840,15125,15125,5840,63,67
PARTIDA_0034_229f1cb0,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaMenorCosto,5,5,1,"Torre Rey del Jugador 2 destruida",122,2,0,6598,159,11,13,43,46,11,13,14449,7558,7558,14449,128,80
PARTIDA_0035_8d0f0a0a,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",34,0,2,1959,7278,3,4,12,14,3,4,1886,6282,6282,1886,15,16
PARTIDA_0036_9777b7c3,2025-11-03 08:41:36,EstrategiaAleatoria,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",59,2,0,7278,259,5,7,21,23,5,7,9380,1945,1945,9380,59,33
PARTIDA_0037_73fa876c,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaAgresiva,5,5,1,"Torre Rey del Jugador 2 destruida",78,2,0,7278,1959,9,9,30,31,9,9,11758,3816,3816,11758,133,49
PARTIDA_0038_54fae4d3,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",34,2,0,7278,1959,4,4,14,15,4,4,6759,1649,1649,6759,24,19
PARTIDA_0039_8f44a6ac,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaMenorCosto,5,5,2,"Torre Rey del Jugador 1 destruida",104,0,3,0,7278,8,10,35,38,8,10,7005,14769,14769,7005,81,168
PARTIDA_0040_27f8dd71,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",56,0,2,1365,7278,5,7,22,23,5,7,3010,9271,9271,3010,27,78
PARTIDA_0041_ed6f082d,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",40,0,3,0,6158,4,5,16,18,4,5,2170,10981,10981,2170,36,58
PARTIDA_0042_1cf3238c,2025-11-03 08:41:36,EstrategiaMenorCosto,EstrategiaMenorCosto,5,5,1,"Torre Rey del Jugador 2 destruida",33,2,0,7278,1959,4,4,14,13,4,4,6840,1405,1405,6840,24,24
PARTIDA_0043_ab201769,2025-11-03 08:41:36,EstrategiaMenorCosto,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",91,1,2,475,2835,9,9,31,33,9,9,9119,11871,11871,9119,109,151
PARTIDA_0044_57cf23cd,2025-11-03 08:41:36,EstrategiaMenorCosto,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",143,3,0,6501,0,15,15,51,52,15,15,15585,5896,5896,15585,168,91
PARTIDA_0045_aaa2a21e,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",75,2,2,1540,1959,7,8,28,28,7,8,9423,10619,10619,9423,69,85
PARTIDA_0046_80f5dd9c,2025-11-03 08:41:36,EstrategiaAleatoria,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",71,1,2,1859,2659,7,7,27,25,7,7,9038,9944,9944,9038,83,107
PARTIDA_0047_65389dc0,2025-11-03 08:41:36,EstrategiaMenorCosto,EstrategiaMenorCosto,5,5,2,"Torre Rey del Jugador 1 destruida",49,0,2,39,7158,5,5,18,20,5,5,3413,9227,9227,3413,48,52
PARTIDA_0048_9fccba7b,2025-11-03 08:41:36,EstrategiaAleatoria,EstrategiaDefensiva,5,5,2,"Torre Rey del Jugador 1 destruida",130,0,3,0,7058,12,12,48,44,12,12,6224,17234,17234,6224,63,147
PARTIDA_0049_e9c754c2,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaDefensiva,5,5,1,"Torre Rey del Jugador 2 destruida",87,2,1,5319,979,8,7,30,32,8,7,12550,6050,6050,12550,129,51
PARTIDA_0050_ad9547b3,2025-11-03 08:41:36,EstrategiaMenorCosto,EstrategiaAgresiva,5,5,1,"Torre Rey del Jugador 2 destruida",73,3,1,5319,0,7,8,27,28,7,8,11386,4930,4930,11386,86,46
PARTIDA_0051_b997b69d,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaAgresiva,5,5,1,"Torre Rey del Jugador 2 destruida",92,3,1,4668,0,8,10,33,35,8,10,14232,5232,5232,14232,125,21
PARTIDA_0052_33c54863,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",105,0,3,0,6778,9,10,39,38,9,10,5368,17678,17678,5368,60,90
PARTIDA_0053_c219852a,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",73,0,2,186,7278,6,8,26,28,6,8,4621,12594,12594,4621,46,115
PARTIDA_0054_56ddd440,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",40,0,2,1959,7278,4,4,18,16,4,4,1266,6833,6833,1266,18,15
PARTIDA_0055_14f527c1,2025-11-03 08:41:36,EstrategiaMenorCosto,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",62,0,2,258,6819,7,6,25,26,7,6,2992,10627,10627,2992,46,86
PARTIDA_0056_6a878186,2025-11-03 08:41:36,EstrategiaMenorCosto,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",43,2,0,7278,1959,4,5,17,17,4,5,7742,2432,2432,7742,30,29
PARTIDA_0057_6b886bdb,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaDefensiva,5,5,2,"Más torres restantes",179,1,2,3034,4719,16,16,65,62,16,16,12808,11836,11836,12808,139,145
PARTIDA_0058_72288368,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",66,2,0,6828,807,7,7,24,25,7,7,10935,4688,4688,10935,85,65
PARTIDA_0059_c6895778,2025-11-03 08:41:36,EstrategiaAleatoria,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",85,1,2,1144,4219,9,8,31,30,9,8,9648,11278,11278,9648,113,125
PARTIDA_0060_598c986d,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaAgresiva,5,5,1,"Torre Rey del Jugador 2 destruida",49,2,1,5082,1959,5,6,18,21,5,6,6825,4757,4757,6825,51,65
PARTIDA_0061_d40aea00,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaAleatoria,5,5,1,"Más torres restantes",215,2,1,5219,1959,18,24,76,77,18,24,15154,13049,13049,15154,164,197
PARTIDA_0062_df11d5a6,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",32,0,2,1959,7278,3,3,13,13,3,3,733,7700,7700,733,14,15
PARTIDA_0063_72a1e69e,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaMenorCosto,5,5,1,"Torre Rey del Jugador 2 destruida",83,3,1,3819,0,8,9,32,32,8,9,12843,8050,8050,12843,136,97
PARTIDA_0064_1aa8ee44,2025-11-03 08:41:36,EstrategiaAleatoria,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",64,0,2,1959,6300,7,7,24,26,7,7,3386,9698,9698,3386,53,75
PARTIDA_0065_797d6aa9,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaDefensiva,5,5,1,"Torre Rey del Jugador 2 destruida",59,2,1,5319,1959,6,5,24,23,6,5,9285,4790,4790,9285,80,36
PARTIDA_0066_09be7e54,2025-11-03 08:41:36,EstrategiaAleatoria,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",49,0,2,1959,6774,6,5,21,19,6,5,1776,7348,7348,1776,29,49
PARTIDA_0067_5ebae089,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaDefensiva,5,5,1,"Torre Rey del Jugador 2 destruida",45,3,0,7278,0,5,4,18,16,5,4,11875,2115,2115,11875,65,34
PARTIDA_0068_c461fd4d,2025-11-03 08:41:36,EstrategiaMenorCosto,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",64,0,2,1959,7278,6,6,23,24,6,6,3369,10774,10774,3369,45,88
PARTIDA_0069_3e0ce3b6,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",55,0,2,1659,6618,5,6,21,22,5,6,2172,8555,8555,2172,26,95
PARTIDA_0070_1be9d6c6,2025-11-03 08:41:36,EstrategiaAleatoria,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",44,1,2,1959,2599,5,4,19,16,5,4,7180,8480,8480,7180,43,48
PARTIDA_0071_e53606b6,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",34,0,2,1959,7278,3,4,12,15,3,4,1115,7888,7888,1115,19,39
PARTIDA_0072_a39dc887,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",31,0,2,1959,7278,4,4,15,15,4,4,2250,7048,7048,2250,28,29
PARTIDA_0073_2115158e,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",101,2,1,1863,1959,11,12,38,38,11,12,11873,9757,9757,11873,116,166
PARTIDA_0074_12b03aa1,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaDefensiva,5,5,2,"Torre Rey del Jugador 1 destruida",69,1,2,1719,4869,7,6,26,28,7,6,5531,10556,10556,5531,49,68
PARTIDA_0075_48c38cab,2025-11-03 08:41:36,EstrategiaMenorCosto,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",144,3,1,2832,0,13,16,53,51,13,16,16050,11058,11058,16050,171,165
PARTIDA_0076_4ecf5cf0,2025-11-03 08:41:36,EstrategiaAleatoria,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",105,0,3,0,7203,10,11,38,39,10,11,2876,14087,14087,2876,31,158
PARTIDA_0077_589f7df0,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaMenorCosto,5,5,2,"Torre Rey del Jugador 1 destruida",52,1,2,1959,5079,6,6,22,22,6,6,5210,9659,9659,5210,72,92
PARTIDA_0078_3efc0955,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",116,1,3,0,5319,10,11,44,43,10,11,7077,18034,18034,7077,56,193
PARTIDA_0079_d8da7e7c,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaAgresiva,5,5,1,"Torre Rey del Jugador 2 destruida",55,2,0,7101,1959,5,5,20,19,5,5,8841,4097,4097,8841,52,41
PARTIDA_0080_b56e6735,2025-11-03 08:41:36,EstrategiaAleatoria,EstrategiaAgresiva,5,5,1,"Torre Rey del Jugador 2 destruida",74,2,1,1929,837,9,7,30,28,9,7,12724,8376,8376,12724,113,71
PARTIDA_0081_82ce5691,2025-11-03 08:41:36,EstrategiaAleatoria,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",105,1,2,1959,5319,10,11,38,40,10,11,7914,11246,11246,7914,112,94
PARTIDA_0082_47e61dfc,2025-11-03 08:41:36,EstrategiaMenorCosto,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",87,1,3,0,2599,10,9,34,33,10,9,7264,12391,12391,7264,49,148
PARTIDA_0083_14bf6681,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaAgresiva,5,5,1,"Torre Rey del Jugador 2 destruida",45,2,0,6969,1959,5,5,19,20,5,5,8280,1999,1999,8280,35,33
PARTIDA_0084_0bba866a,2025-11-03 08:41:36,EstrategiaMenorCosto,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",58,1,2,1959,2764,6,6,22,23,6,6,7007,11011,11011,7007,81,78
PARTIDA_0085_0060c01a,2025-11-03 08:41:36,EstrategiaMenorCosto,EstrategiaMenorCosto,5,5,2,"Torre Rey del Jugador 1 destruida",128,2,2,1278,3240,15,14,48,47,15,14,10024,13807,13807,10024,136,122
PARTIDA_0086_109c6088,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaAgresiva,5,5,1,"Torre Rey del Jugador 2 destruida",36,2,1,5319,1857,4,5,15,17,4,5,7375,3338,3338,7375,31,45
PARTIDA_0087_1613cc14,2025-11-03 08:41:36,EstrategiaAleatoria,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",127,0,3,0,6213,12,12,45,47,12,12,9219,13565,13565,9219,109,98
PARTIDA_0088_33ac0773,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaDefensiva,5,5,2,"Torre Rey del Jugador 1 destruida",157,1,2,1224,3264,15,13,57,53,15,13,12208,17806,17806,12208,118,190
PARTIDA_0089_4f613daf,2025-11-03 08:41:36,EstrategiaAleatoria,EstrategiaAgresiva,5,5,1,"Torre Rey del Jugador 2 destruida",76,2,1,3119,1959,7,6,27,28,7,6,11034,7278,7278,11034,117,59
PARTIDA_0090_e44bd617,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaDefensiva,5,5,1,"Torre Rey del Jugador 2 destruida",70,2,0,7278,439,7,6,28,26,7,6,13647,4018,4018,13647,109,52
PARTIDA_0091_ef6c6972,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",63,1,2,1584,3779,5,7,22,25,5,7,4802,9802,9802,4802,39,107
PARTIDA_0092_3eedb7ff,2025-11-03 08:41:36,EstrategiaAleatoria,EstrategiaDefensiva,5,5,1,"Torre Rey del Jugador 2 destruida",55,2,0,7278,1959,5,4,20,19,5,4,8084,1334,1334,8084,76,19
PARTIDA_0093_39e2b168,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaAgresiva,5,5,1,"Torre Rey del Jugador 2 destruida",26,2,0,7278,1959,3,3,10,12,3,3,6506,1642,1642,6506,27,22
PARTIDA_0094_d3e66172,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaMenorCosto,5,5,2,"Torre Rey del Jugador 1 destruida",39,0,2,1959,7278,5,4,16,15,5,4,1590,7802,7802,1590,24,30
PARTIDA_0095_a71c023a,2025-11-03 08:41:36,EstrategiaMenorCosto,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",40,0,2,1706,7278,4,4,14,16,4,4,2164,8271,8271,2164,37,37
PARTIDA_0096_0a1db3ec,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaAgresiva,5,5,1,"Torre Rey del Jugador 2 destruida",26,2,0,5628,1959,3,3,11,11,3,3,6279,2524,2524,6279,33,31
PARTIDA_0097_d1d77d3f,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaDefensiva,5,5,2,"Torre Rey del Jugador 1 destruida",173,1,3,0,2259,14,15,62,60,14,15,15097,19029,19029,15097,113,196
PARTIDA_0098_cc104a8c,2025-11-03 08:41:36,EstrategiaMenorCosto,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",67,0,3,0,7278,7,7,25,25,7,7,1716,11003,11003,1716,37,124
PARTIDA_0099_81295cff,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaDefensiva,5,5,2,"Torre Rey del Jugador 1 destruida",83,1,2,1959,3549,8,7,31,31,8,7,9447,10845,10845,9447,93,83
PARTIDA_0100_d92fdb67,2025-11-03 08:41:36,EstrategiaMenorCosto,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",94,3,0,7278,0,8,10,32,34,8,10,12729,4186,4186,12729,140,51
PARTIDA_0101_a2f5cfba,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",73,0,2,1959,5415,8,7,28,27,8,7,4974,10437,10437,4974,46,71
PARTIDA_0102_c4666feb,2025-11-03 08:41:36,EstrategiaMenorCosto,EstrategiaDefensiva,5,5,1,"Torre Rey del Jugador 2 destruida",126,3,0,7278,0,11,11,46,45,11,11,16123,7041,7041,16123,149,75
PARTIDA_0103_eefdb98b,2025-11-03 08:41:36,EstrategiaAleatoria,EstrategiaDefensiva,5,5,2,"Torre Rey del Jugador 1 destruida",83,1,2,1859,4739,9,7,33,31,9,7,8391,9970,9970,8391,85,66
PARTIDA_0104_05946069,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaMenorCosto,5,5,2,"Torre Rey del Jugador 1 destruida",63,0,2,659,6238,7,6,26,23,7,6,5766,11173,11173,5766,41,67
PARTIDA_0105_7c0d6e65,2025-11-03 08:41:36,EstrategiaMenorCosto,EstrategiaDefensiva,5,5,1,"Torre Rey del Jugador 2 destruida",87,2,0,7278,609,9,8,32,32,9,8,11792,4829,4829,11792,96,68
PARTIDA_0106_315d63be,2025-11-03 08:41:36,EstrategiaMenorCosto,EstrategiaMenorCosto,5,5,2,"Torre Rey del Jugador 1 destruida",113,1,3,0,3999,12,12,43,43,12,12,8750,15242,15242,8750,93,168
PARTIDA_0107_5af93c27,2025-11-03 08:41:36,EstrategiaAleatoria,EstrategiaDefensiva,5,5,2,"Torre Rey del Jugador 1 destruida",72,1,2,1359,4494,8,6,27,26,8,6,7046,8669,8669,7046,80,57
PARTIDA_0108_77c00f60,2025-11-03 08:41:36,EstrategiaMenorCosto,EstrategiaAgresiva,5,5,1,"Torre Rey del Jugador 2 destruida",60,2,0,7089,1959,7,7,24,25,7,7,9746,3070,3070,9746,70,35
PARTIDA_0109_adb2d7e7,2025-11-03 08:41:36,EstrategiaMenorCosto,EstrategiaMenorCosto,5,5,2,"Torre Rey del Jugador 1 destruida",77,1,3,0,3042,8,7,28,28,8,7,9520,13108,13108,9520,134,129
PARTIDA_0110_d013d0e2,2025-11-03 08:41:36,EstrategiaAleatoria,EstrategiaDefensiva,5,5,1,"Torre Rey del Jugador 2 destruida",111,3,0,7278,0,13,9,41,40,13,9,17241,4810,4810,17241,308,59
PARTIDA_0111_4a5ef18f,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaMenorCosto,5,5,1,"Torre Rey del Jugador 2 destruida",31,2,0,6553,1959,4,4,14,14,4,4,6990,2467,2467,6990,34,37
PARTIDA_0112_5935b81e,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaDefensiva,5,5,1,"Torre Rey del Jugador 2 destruida",58,2,1,5319,687,7,5,24,20,7,5,9718,6453,6453,9718,76,50
PARTIDA_0113_bf59b82f,2025-11-03 08:41:36,EstrategiaAleatoria,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",39,0,2,1839,7278,4,4,17,17,4,4,1434,7980,7980,1434,24,28
PARTIDA_0114_050431e5,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",116,2,1,2562,1959,11,12,43,42,11,12,14753,11825,11825,14753,113,165
PARTIDA_0115_55be60e1,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaDefensiva,5,5,2,"Torre Rey del Jugador 1 destruida",120,1,2,1379,1979,10,10,42,41,10,10,10931,16486,16486,10931,75,149
